Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Alexandar Georgiev,20232024,COL,L,63,62,38,18,--,5,"1,770","1,588",183,0.897,3.02,3637:57,2,0,2,2,4
Connor Hellebuyck,20232024,WPG,L,60,60,37,19,--,4,"1,798","1,656",142,0.921,2.39,3567:20,5,0,0,0,2
Sergei Bobrovsky,20232024,FLA,L,58,58,36,17,--,4,"1,584","1,449",135,0.915,2.37,3414:14,6,0,2,2,4
Igor Shesterkin,20232024,NYR,L,55,55,36,17,--,2,"1,606","1,466",141,0.913,2.58,3277:06,4,0,1,1,6
Stuart Skinner,20232024,EDM,L,59,57,36,16,--,5,"1,553","1,406",147,0.905,2.62,3361:21,2,0,0,0,0
Thatcher Demko,20232024,VAN,L,51,51,35,14,--,2,"1,492","1,369",123,0.918,2.45,3015:53,5,0,1,1,0
Juuse Saros,20232024,NSH,L,64,64,35,24,--,5,"1,845","1,672",173,0.906,2.86,3624:38,3,0,2,2,2
Jake Oettinger,20232024,DAL,L,54,53,35,14,--,4,"1,476","1,336",140,0.905,2.72,3084:35,3,0,0,0,2
Andrei Vasilevskiy,20232024,TBL,L,52,52,30,20,--,2,"1,477","1,329",148,0.9,2.9,3062:52,2,0,2,2,2
Jordan Binnington,20232024,STL,L,57,55,28,21,--,5,"1,786","1,630",156,0.913,2.84,3291:29,3,0,3,3,8
Cam Talbot,20232024,LAK,L,54,52,27,20,--,6,"1,490","1,361",130,0.913,2.5,3116:07,3,0,3,3,4
Ukko-Pekka Luukkonen,20232024,BUF,L,54,51,27,22,--,4,"1,470","1,338",132,0.91,2.57,3081:14,5,0,1,1,8
Jeremy Swayman,20232024,BOS,L,44,43,25,10,--,8,"1,287","1,179",108,0.916,2.53,2565:51,3,0,1,1,0
Charlie Lindgren,20232024,WSH,R,50,48,25,16,--,7,"1,431","1,304",127,0.911,2.67,2852:23,6,0,0,0,0
Ilya Sorokin,20232024,NYI,L,56,55,25,19,--,12,"1,821","1,655",167,0.909,3.01,3325:59,2,0,2,2,0
Logan Thompson,20232024,VGK,R,46,42,25,14,--,5,"1,298","1,179",119,0.908,2.7,2645:28,1,0,3,3,0
Pyotr Kochetkov,20232024,CAR,L,42,40,23,13,--,4,"1,031",939,92,0.911,2.33,2371:29,4,0,0,0,8
Connor Ingram,20232024,ARI,L,50,48,23,21,--,3,"1,461","1,325",136,0.907,2.91,2802:56,6,0,3,3,0
Jacob Markstrom,20232024,CGY,L,48,48,23,23,--,2,"1,379","1,248",131,0.905,2.78,2831:07,2,0,5,5,0
Samuel Ersson,20232024,PHI,L,51,49,23,19,--,7,"1,204","1,072",132,0.89,2.82,2809:28,4,0,0,0,4
Ilya Samsonov,20232024,TOR,L,40,40,23,7,--,8,"1,087",967,120,0.89,3.13,2300:58,3,0,1,1,0
Linus Ullmark,20232024,BOS,L,40,39,22,10,--,7,"1,207","1,105",103,0.915,2.57,2400:08,2,0,1,1,2
Alex Lyon,20232024,DET,L,44,43,21,18,--,5,"1,325","1,198",127,0.904,3.05,2498:51,2,0,1,1,2
Joonas Korpisalo,20232024,OTT,L,55,49,21,26,--,4,"1,522","1,354",168,0.89,3.27,3080:28,0,0,1,1,0
Filip Gustavsson,20232024,MIN,L,45,43,20,18,--,4,"1,283","1,154",129,0.899,3.06,2526:33,3,0,1,1,0
Joey Daccord,20232024,SEA,L,50,46,19,18,--,11,"1,374","1,258",116,0.916,2.46,2832:47,3,0,0,0,0
Adin Hill,20232024,VGK,L,35,35,19,12,--,2,979,890,89,0.909,2.71,1968:49,2,0,1,1,0
Tristan Jarry,20232024,PIT,L,51,48,19,25,--,5,"1,369","1,236",133,0.903,2.91,2740:38,6,1,0,1,4
Jonathan Quick,20232024,NYR,L,27,26,18,6,--,2,771,702,69,0.911,2.62,1582:44,2,0,1,1,8
Petr Mrazek,20232024,CHI,L,56,53,18,31,--,4,"1,724","1,565",160,0.908,3.05,3152:40,1,0,0,0,14
Alex Nedeljkovic,20232024,PIT,L,38,33,18,7,--,7,"1,039",937,102,0.902,2.97,2060:28,1,0,0,0,0
Marc-Andre Fleury,20232024,MIN,L,40,36,17,15,--,5,"1,056",945,111,0.895,2.98,2232:40,2,0,1,1,4
Vitek Vanecek,20232024,NJD,L,32,29,17,9,--,3,862,767,95,0.89,3.18,1791:49,0,0,1,1,0
Anthony Stolarz,20232024,FLA,L,27,24,16,7,--,2,684,633,51,0.925,2.03,1506:27,2,0,2,2,2
Sam Montembeault,20232024,MTL,L,41,40,16,15,--,9,"1,307","1,180",127,0.903,3.14,2428:46,0,0,2,2,0
Scott Wedgewood,20232024,DAL,L,32,28,16,7,--,5,844,759,85,0.899,2.85,1789:08,0,0,0,0,0
Laurent Brossoit,20232024,WPG,L,23,22,15,5,--,2,620,575,45,0.927,2,1351:02,3,0,0,0,2
Joel Hofer,20232024,STL,L,30,27,15,12,--,1,830,759,72,0.914,2.65,1628:39,1,0,1,1,4
Anton Forsberg,20232024,OTT,L,30,28,15,12,--,0,765,681,84,0.89,3.21,1569:45,2,0,1,1,2
Semyon Varlamov,20232024,NYI,L,28,27,14,8,--,4,837,768,69,0.918,2.6,1594:44,3,0,0,0,0
Lukas Dostal,20232024,ANA,L,44,38,14,23,--,3,"1,310","1,181",129,0.902,3.33,2322:49,1,0,0,0,8
Philipp Grubauer,20232024,SEA,L,36,34,14,16,--,2,941,846,95,0.899,2.85,1996:36,2,0,1,1,4
Frederik Andersen,20232024,CAR,L,16,16,13,2,--,0,410,382,28,0.932,1.84,912:53,3,0,1,1,0
David Rittich,20232024,LAK,L,24,22,13,6,--,3,621,572,49,0.921,2.15,1364:31,3,0,0,0,0
Elvis Merzlikins,20232024,CBJ,L,41,40,13,17,--,8,"1,266","1,136",130,0.897,3.45,2258:40,1,0,0,0,4
Karel Vejmelka,20232024,ARI,R,38,33,13,19,--,2,"1,089",977,114,0.897,3.35,2040:08,1,0,2,2,2
Darcy Kuemper,20232024,WSH,L,33,30,13,14,--,3,940,837,103,0.89,3.31,1866:32,1,0,1,1,0
John Gibson,20232024,ANA,L,46,44,13,27,--,2,"1,343","1,192",151,0.888,3.54,2561:29,0,0,0,0,12
Calvin Pickard,20232024,EDM,L,23,20,12,7,--,1,581,528,53,0.909,2.45,1296:21,1,0,0,0,2
Joseph Woll,20232024,TOR,L,25,23,12,11,--,1,772,700,72,0.907,2.94,1471:39,0,0,0,0,0
Carter Hart,20232024,PHI,L,26,25,12,9,--,3,727,659,68,0.906,2.8,1455:11,1,0,1,1,0
Casey DeSmith,20232024,VAN,L,29,27,12,9,--,6,759,680,80,0.896,2.89,1663:29,1,0,1,1,0
Jake Allen,20232024,"MTL,NJD",L,34,33,12,18,--,4,"1,087",973,114,0.895,3.44,1986:53,0,0,1,1,2
Jonas Johansson,20232024,TBL,L,26,24,12,7,--,5,752,669,83,0.89,3.37,1477:29,2,0,0,0,0
Antti Raanta,20232024,CAR,L,24,20,12,7,--,2,493,430,63,0.872,2.99,1265:11,1,0,0,0,0
Kevin Lankinen,20232024,NSH,L,24,17,11,6,--,0,610,554,56,0.908,2.82,1191:25,1,0,1,1,0
James Reimer,20232024,DET,L,25,20,11,8,--,2,727,657,70,0.904,3.11,1352:24,2,0,0,0,4
Martin Jones,20232024,TOR,L,22,19,11,8,--,1,574,518,56,0.902,2.87,1169:40,2,0,0,0,0
Devon Levi,20232024,BUF,L,23,21,10,8,--,2,666,599,67,0.899,3.1,1294:54,0,0,0,0,0
Mackenzie Blackwood,20232024,SJS,L,44,41,10,25,--,4,"1,383","1,243",140,0.899,3.45,2437:08,2,0,0,0,2
Nico Daws,20232024,NJD,L,21,20,9,11,--,0,568,508,60,0.894,3.15,1144:03,0,0,1,1,0
Ville Husso,20232024,DET,L,19,18,9,5,--,2,556,496,60,0.892,3.55,1012:55,0,0,1,1,0
Justus Annunen,20232024,COL,L,14,12,8,4,--,1,414,384,30,0.928,2.25,801:05,2,0,0,0,0
Cayden Primeau,20232024,MTL,L,23,21,8,9,--,4,731,665,66,0.91,2.99,1324:50,2,0,2,2,2
Daniil Tarasov,20232024,CBJ,L,24,23,8,11,--,3,796,723,73,0.908,3.18,1376:28,0,0,0,0,0
Dan Vladar,20232024,CGY,L,20,19,8,9,--,2,574,506,68,0.882,3.62,1128:31,0,0,0,0,0
Kaapo Kahkonen,20232024,"SJS,NJD",L,37,33,7,24,--,3,"1,139","1,023",116,0.898,3.64,1914:13,1,0,1,1,4
Dustin Wolf,20232024,CGY,L,17,15,7,7,--,1,467,417,50,0.893,3.16,950:30,0,0,0,0,0
Spencer Martin,20232024,"CBJ,CAR",L,19,16,7,9,--,2,533,474,59,0.889,3.3,1072:13,0,0,0,0,0
Akira Schmid,20232024,NJD,L,19,15,5,9,--,1,457,409,48,0.895,3.15,914:09,0,0,2,2,2
Arvid Soderblom,20232024,CHI,L,32,29,5,22,--,2,942,829,114,0.88,3.92,1744:20,0,0,0,0,0
Ivan Prosvetov,20232024,COL,L,11,8,4,3,--,1,248,222,26,0.895,3.16,494:11,0,0,0,0,0
Pheonix Copley,20232024,LAK,L,8,8,4,1,--,2,177,154,23,0.87,3.16,436:17,1,0,0,0,0
Jet Greaves,20232024,CBJ,L,9,8,3,6,--,0,327,297,30,0.908,3.49,515:52,0,0,0,0,0
Matt Tomkins,20232024,TBL,L,6,6,3,2,--,1,185,165,20,0.892,3.33,360:13,0,0,0,0,0
Arturs Silovs,20232024,VAN,L,4,4,3,0,--,1,84,74,10,0.881,2.47,243:13,0,0,0,0,0
Jesper Wallstedt,20232024,MIN,L,3,3,2,1,--,0,87,78,9,0.897,3.01,179:17,1,0,0,0,0
Hunter Shepard,20232024,WSH,L,4,4,2,1,--,1,123,110,13,0.894,3.19,244:50,0,0,0,0,0
Eric Comrie,20232024,BUF,L,10,10,2,7,--,0,254,222,32,0.874,3.69,519:54,0,0,0,0,0
Devin Cooley,20232024,SJS,L,6,6,2,3,--,1,192,167,25,0.87,4.98,301:29,0,0,0,0,0
Cal Petersen,20232024,PHI,R,5,4,2,2,--,0,132,114,18,0.864,3.9,276:55,0,0,0,0,0
Matt Murray,20232024,DAL,L,1,1,1,0,--,0,23,23,0,1,0,60:00,1,0,0,0,0
Louis Domingue,20232024,NYR,R,1,1,1,0,--,0,26,25,1,0.962,1,60:00,0,0,0,0,0
Yaroslav Askarov,20232024,NSH,R,2,1,1,0,--,0,35,33,2,0.943,1.47,81:40,0,0,0,0,0
Magnus Hellberg,20232024,PIT,L,3,1,1,0,--,0,64,59,5,0.922,2.5,119:53,0,0,0,0,0
Chris Driedger,20232024,SEA,L,2,2,1,1,--,0,60,55,5,0.917,2.51,119:35,0,0,0,0,0
Jiri Patera,20232024,VGK,L,6,5,1,3,--,1,196,175,21,0.893,3.98,316:46,0,0,0,0,0
Jack Campbell,20232024,EDM,L,5,5,1,4,--,0,157,137,20,0.873,4.5,266:47,0,0,0,0,0
Mads Sogaard,20232024,OTT,L,6,5,1,3,--,0,135,116,19,0.859,4.05,281:34,0,0,0,0,0
Magnus Chrona,20232024,SJS,L,9,8,1,6,--,1,262,225,37,0.859,4.71,471:15,0,0,0,0,0
Felix Sandstrom,20232024,PHI,L,5,3,1,2,--,0,96,79,17,0.823,3.87,263:29,0,0,0,0,0
Yaniv Perets,20232024,CAR,L,1,0,0,0,--,0,1,1,0,1,0,12:46,0,0,0,0,0
Georgi Romanov,20232024,SJS,L,2,0,0,0,--,0,30,29,1,0.967,1.01,59:15,0,0,0,0,0
Michael Hutchinson,20232024,DET,R,1,1,0,1,--,0,36,33,3,0.917,3.11,57:48,0,0,0,0,0
Malcolm Subban,20232024,CBJ,L,1,1,0,1,--,0,35,32,3,0.914,3,60:00,0,0,0,0,0
Matt Villalta,20232024,ARI,L,2,1,0,1,--,0,29,24,5,0.828,4.17,71:58,0,0,0,0,0
Ivan Fedotov,20232024,PHI,L,3,1,0,1,--,1,53,43,10,0.811,4.95,121:09,0,0,0,0,0
Kenneth Appleby,20232024,NYI,L,1,0,0,0,--,0,8,6,2,0.75,6,20:00,0,0,0,0,0
