Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Sam Steel,20232024,DAL,L,C,77,9,15,24,0,29,0.31,7,21,0,0,2,3,0,1,86,10.5,13:15,45
Evgeny Kuznetsov,20232024,"WSH,CAR",L,C,63,8,16,24,-11,30,0.38,7,17,1,7,0,0,0,1,96,8.3,17:33,45
Martin Pospisil,20232024,CGY,L,C,63,8,16,24,14,109,0.38,8,24,0,0,0,0,0,1,117,6.8,12:43,45.1
Kevin Shattenkirk,20232024,BOS,R,D,61,6,18,24,-2,18,0.39,4,13,2,11,0,0,0,0,78,7.7,15:47,--
David Savard,20232024,MTL,R,D,60,6,18,24,-1,24,0.4,6,24,0,0,0,0,0,0,54,11.1,20:14,--
Mike Reilly,20232024,"FLA,NYI",L,D,61,6,18,24,-1,30,0.39,5,18,0,5,1,1,0,1,126,4.8,17:09,--
Jeff Petry,20232024,DET,R,D,73,3,21,24,-7,39,0.33,3,23,0,0,0,1,0,0,84,3.6,18:48,--
Nick Perbix,20232024,TBL,R,D,77,2,22,24,8,10,0.31,2,24,0,0,0,0,1,1,57,3.5,17:05,--
Jordan Spence,20232024,LAK,R,D,71,2,22,24,5,12,0.34,1,18,1,6,0,0,0,0,80,2.5,14:26,--
Sonny Milano,20232024,WSH,L,L,49,15,8,23,4,10,0.47,12,19,3,4,0,0,0,2,50,30,12:30,--
Ryan Johansen,20232024,COL,R,C,63,13,10,23,-6,34,0.37,9,16,4,6,0,1,0,4,78,16.7,13:39,53.1
Filip Zadina,20232024,SJS,L,R,72,13,10,23,-44,18,0.32,10,19,3,4,0,0,0,3,137,9.5,13:20,22.1
Evgenii Dadonov,20232024,DAL,L,R,51,12,11,23,-6,8,0.45,11,21,1,2,0,0,0,3,67,17.9,13:11,0
Alex Laferriere,20232024,LAK,R,R,81,12,11,23,-14,46,0.28,12,20,0,3,0,0,0,2,147,8.2,13:13,53.9
Bobby Brink,20232024,PHI,R,R,57,11,12,23,1,10,0.4,8,18,3,5,0,0,0,2,81,13.6,13:48,57.1
Mike Hoffman,20232024,SJS,L,C,66,10,13,23,-21,20,0.35,7,17,3,6,0,0,0,1,71,14.1,13:44,37.5
Casey Cizikas,20232024,NYI,L,C,70,10,13,23,-2,22,0.33,9,21,0,1,1,1,0,1,82,12.2,13:56,53.4
Cole Smith,20232024,NSH,L,L,80,9,14,23,5,63,0.29,8,20,0,0,1,3,0,4,112,8,13:41,29.4
Vladislav Gavrikov,20232024,LAK,L,D,77,6,17,23,9,28,0.3,6,22,0,0,0,1,1,1,114,5.3,20:37,--
Max Pacioretty,20232024,WSH,L,L,47,4,19,23,-14,25,0.49,2,12,2,11,0,0,0,0,95,4.2,14:26,29.4
Timothy Liljegren,20232024,TOR,R,D,55,3,20,23,3,16,0.42,3,15,0,7,0,1,0,1,62,4.8,19:40,--
Rasmus Sandin,20232024,WSH,L,D,68,3,20,23,-13,24,0.34,3,18,0,5,0,0,0,1,79,3.8,21:07,--
Corey Perry,20232024,"CHI,EDM",R,R,54,12,10,22,-6,46,0.41,9,18,3,4,0,0,0,2,82,14.6,13:23,0
Kyle Okposo,20232024,"BUF,FLA",R,R,67,12,10,22,1,34,0.33,9,17,2,4,1,1,0,0,114,10.5,13:21,47.6
Nic Dowd,20232024,WSH,R,C,64,12,10,22,-2,47,0.34,12,22,0,0,0,0,0,2,61,19.7,15:12,48.1
Michael McCarron,20232024,NSH,R,R,70,12,10,22,4,100,0.31,12,22,0,0,0,0,0,3,94,12.8,12:46,53.2
Brett Leason,20232024,ANA,R,R,68,11,11,22,-7,14,0.32,9,20,0,0,2,2,0,0,91,12.1,13:01,41.5
Marcus Foligno,20232024,MIN,L,L,55,10,12,22,10,59,0.4,10,21,0,0,0,1,0,3,56,17.9,14:29,38.9
Jalen Chatfield,20232024,CAR,R,D,72,8,14,22,15,24,0.31,8,22,0,0,0,0,0,2,90,8.9,15:12,--
Hendrix Lapierre,20232024,WSH,L,C,51,8,14,22,-1,4,0.43,8,20,0,2,0,0,0,1,51,15.7,11:26,37.5
Alexander Romanov,20232024,NYI,L,D,81,7,15,22,23,20,0.27,7,22,0,0,0,0,0,0,117,6,20:50,--
Kasperi Kapanen,20232024,STL,R,R,73,6,16,22,-5,14,0.3,5,20,0,0,1,2,0,1,99,6.1,14:23,34.2
Kaiden Guhle,20232024,MTL,L,D,70,6,16,22,-8,56,0.31,6,22,0,0,0,0,1,1,95,6.3,20:51,--
Jacob Trouba,20232024,NYR,R,D,69,3,19,22,-4,73,0.32,3,20,0,1,0,1,0,0,129,2.3,21:15,--
Alexey Toropchenko,20232024,STL,L,R,82,14,7,21,-3,30,0.26,12,19,0,0,2,2,0,1,114,12.3,12:31,0
Will Cuylle,20232024,NYR,L,L,81,13,8,21,-3,56,0.26,12,19,1,2,0,0,0,2,119,10.9,11:08,20
Jake Walman,20232024,DET,L,D,63,12,9,21,-2,44,0.33,11,16,1,4,0,1,2,3,108,11.1,19:46,--
Calle Jarnkrok,20232024,TOR,R,C,52,10,11,21,16,18,0.4,9,18,0,1,1,2,1,3,92,10.9,15:16,49.2
Blake Wheeler,20232024,NYR,R,R,54,9,12,21,2,23,0.39,8,20,1,1,0,0,0,1,83,10.8,12:43,61.3
Oskar Sundqvist,20232024,STL,R,C,71,6,15,21,-6,32,0.3,2,13,3,5,1,3,0,0,68,8.8,13:15,41.9
Beck Malenstyn,20232024,WSH,L,L,81,6,15,21,-1,25,0.26,6,20,0,0,0,1,0,1,98,6.1,14:15,45.1
Michael Kesselring,20232024,ARI,R,D,65,5,16,21,11,66,0.32,5,21,0,0,0,0,0,2,76,6.6,15:48,--
Egor Zamula,20232024,PHI,L,D,66,5,16,21,3,32,0.32,3,11,2,9,0,1,0,1,61,8.2,16:03,--
Mario Ferraro,20232024,SJS,L,D,78,3,18,21,-38,36,0.27,3,21,0,0,0,0,0,0,124,2.4,22:52,--
Craig Smith,20232024,DAL,R,C,75,11,9,20,2,33,0.27,11,20,0,0,0,0,0,2,112,9.8,10:13,25
Tye Kartye,20232024,SEA,L,L,77,11,9,20,-1,37,0.26,11,20,0,0,0,0,0,1,109,10.1,11:50,47.1
Josh Anderson,20232024,MTL,R,R,78,9,11,20,-18,74,0.26,9,18,0,2,0,0,0,0,141,6.4,15:28,48.4
Brenden Dillon,20232024,WPG,L,D,77,8,12,20,20,92,0.26,8,20,0,0,0,0,0,2,79,10.1,18:44,--
Philip Tomasino,20232024,NSH,R,C,41,7,13,20,-6,25,0.49,7,16,0,4,0,0,0,2,62,11.3,12:34,15.8
Nikita Zadorov,20232024,"CGY,VAN",L,D,75,6,14,20,0,125,0.27,6,19,0,0,0,1,0,1,90,6.7,17:26,--
Ben Chiarot,20232024,DET,L,D,77,5,15,20,-4,56,0.26,5,20,0,0,0,0,1,1,107,4.7,19:47,--
Valtteri Puustinen,20232024,PIT,R,R,52,5,15,20,4,6,0.38,5,18,0,2,0,0,0,0,86,5.8,11:45,25
Alexandre Carrier,20232024,NSH,R,D,73,4,16,20,7,44,0.27,3,18,0,1,1,1,0,2,77,5.2,18:48,--
Henri Jokiharju,20232024,BUF,R,D,74,3,17,20,14,24,0.27,3,19,0,0,0,1,1,1,84,3.6,18:59,--
Erik Brannstrom,20232024,OTT,L,D,76,3,17,20,5,36,0.26,3,19,0,0,0,1,0,0,77,3.9,16:35,--
Dmitry Kulikov,20232024,FLA,L,D,76,1,19,20,15,63,0.26,1,18,0,0,0,2,0,0,74,1.4,16:31,--
Kaapo Kakko,20232024,NYR,L,R,61,13,6,19,6,24,0.31,12,18,1,1,0,0,0,2,91,14.3,13:17,56.5
Connor Dewar,20232024,"MIN,TOR",L,C,74,11,8,19,-8,28,0.26,10,18,0,0,1,1,0,0,77,14.3,11:39,46.8
Michael McLeod,20232024,NJD,R,C,45,10,9,19,6,10,0.42,10,19,0,0,0,0,0,2,73,13.7,15:09,65
Jack Quinn,20232024,BUF,R,R,27,9,10,19,-1,8,0.7,8,16,1,3,0,0,0,2,56,16.1,15:38,33.3
Brett Howden,20232024,VGK,L,C,72,8,11,19,-11,39,0.26,6,17,0,0,2,2,0,0,76,10.5,13:14,45.1
David Kampf,20232024,TOR,L,C,78,8,11,19,-4,18,0.24,8,19,0,0,0,0,0,1,79,10.1,13:29,50.9
Cal Clutterbuck,20232024,NYI,R,R,82,7,12,19,4,32,0.23,7,19,0,0,0,0,0,0,59,11.9,11:53,37.1
Jakob Silfverberg,20232024,ANA,R,R,81,7,12,19,4,24,0.23,5,13,1,4,1,2,0,1,102,6.9,13:03,34
Radek Faksa,20232024,DAL,L,C,74,7,12,19,0,20,0.26,5,15,0,0,2,4,0,2,71,9.9,12:31,54.4
Andrew Cogliano,20232024,COL,L,C,75,6,13,19,11,16,0.25,5,15,0,0,1,4,0,0,61,9.8,10:37,33.1
Jesper Fast,20232024,CAR,R,R,73,6,13,19,0,16,0.26,6,19,0,0,0,0,0,0,79,7.6,12:36,43.8
Jonny Brodzinski,20232024,NYR,R,C,57,6,13,19,-3,8,0.33,5,17,1,2,0,0,0,2,89,6.7,11:08,50.2
Ryan Pulock,20232024,NYI,R,D,58,5,14,19,3,12,0.33,3,13,2,6,0,0,0,1,90,5.6,22:33,--
Christian Fischer,20232024,DET,R,R,79,5,14,19,0,36,0.24,4,18,0,0,1,1,0,0,86,5.8,11:24,40.4
Jan Rutta,20232024,SJS,R,D,69,5,14,19,-21,38,0.28,5,17,0,0,0,2,0,1,69,7.3,19:43,--
Braden Schneider,20232024,NYR,R,D,82,5,14,19,-1,16,0.23,4,18,0,0,1,1,0,1,95,5.3,15:54,--
Simon Nemec,20232024,NJD,R,D,60,3,16,19,-7,33,0.32,3,17,0,2,0,0,0,1,73,4.1,19:52,--
Chris Tanev,20232024,"CGY,DAL",R,D,75,2,17,19,22,24,0.25,2,19,0,0,0,0,0,0,56,3.6,19:41,--
Mikhail Sergachev,20232024,TBL,L,D,34,2,17,19,-16,16,0.56,2,12,0,7,0,0,0,0,53,3.8,22:33,--
Nils Lundkvist,20232024,DAL,R,D,59,2,17,19,13,16,0.32,2,17,0,2,0,0,0,0,73,2.7,14:06,--
Luke Kunin,20232024,SJS,R,C,77,11,7,18,-30,83,0.23,9,13,2,5,0,0,0,1,98,11.2,15:44,45.6
Morgan Barron,20232024,WPG,L,C,80,11,7,18,10,23,0.23,11,17,0,1,0,0,0,3,94,11.7,10:30,46.3
Sean Kuraly,20232024,CBJ,L,C,62,9,9,18,-5,40,0.29,9,17,0,0,0,1,0,0,92,9.8,13:44,48.1
Keegan Kolesar,20232024,VGK,R,R,79,8,10,18,-8,49,0.23,7,16,0,0,1,2,0,2,73,11,10:52,40
Parker Kelly,20232024,OTT,L,L,80,8,10,18,-8,30,0.23,6,15,0,0,2,3,0,0,86,9.3,11:42,23.9
Radko Gudas,20232024,ANA,R,D,66,6,12,18,14,128,0.27,6,17,0,0,0,1,0,0,88,6.8,19:30,--
Noah Cates,20232024,PHI,L,L,59,6,12,18,-8,0,0.31,6,16,0,0,0,2,0,1,78,7.7,13:48,44.6
Adam Larsson,20232024,SEA,R,D,81,4,14,18,6,55,0.22,4,17,0,0,0,1,0,1,130,3.1,22:57,--
Olli Maatta,20232024,DET,L,D,72,4,14,18,14,14,0.25,4,18,0,0,0,0,0,0,48,8.3,16:03,--
Connor Clifton,20232024,BUF,R,D,79,4,14,18,12,88,0.23,4,18,0,0,0,0,0,1,77,5.2,16:33,--
Aaron Ekblad,20232024,FLA,R,D,51,4,14,18,27,50,0.35,3,14,1,4,0,0,0,1,98,4.1,20:52,--
Samuel Girard,20232024,COL,L,D,59,3,15,18,0,10,0.31,3,17,0,1,0,0,0,0,73,4.1,19:23,--
Mikey Anderson,20232024,LAK,L,D,74,2,16,18,22,18,0.24,2,17,0,0,0,1,0,0,89,2.3,20:38,--
Dylan Samberg,20232024,WPG,L,D,78,1,17,18,16,43,0.23,1,16,0,1,0,1,0,0,77,1.3,15:38,--
Yakov Trenin,20232024,"NSH,COL",L,C,76,12,5,17,15,40,0.22,12,16,0,0,0,1,0,3,116,10.3,14:34,45
Garnet Hathaway,20232024,PHI,R,R,82,7,10,17,-7,132,0.21,6,14,0,0,1,3,0,1,103,6.8,12:29,66.7
Pontus Holmberg,20232024,TOR,L,R,54,7,10,17,11,18,0.31,7,17,0,0,0,0,0,1,54,13,11:34,46.3
Anthony Beauvillier,20232024,"VAN,CHI,NSH",L,L,60,5,12,17,-8,8,0.28,3,13,2,4,0,0,0,0,105,4.8,13:35,51.3
Joey Anderson,20232024,CHI,R,R,55,5,12,17,5,8,0.31,5,17,0,0,0,0,0,0,57,8.8,13:33,0
Alec Martinez,20232024,VGK,L,D,55,4,13,17,-2,6,0.31,4,14,0,3,0,0,0,0,72,5.6,19:03,--
Peyton Krebs,20232024,BUF,L,C,80,4,13,17,2,67,0.21,4,17,0,0,0,0,0,2,74,5.4,12:30,46.3
Niko Mikkola,20232024,FLA,L,D,82,3,14,17,11,69,0.21,3,16,0,0,0,1,0,0,93,3.2,20:02,--
Ryan Lindgren,20232024,NYR,L,D,76,3,14,17,22,36,0.22,3,17,0,0,0,0,0,1,73,4.1,19:21,--
Ryan Suter,20232024,DAL,L,D,82,2,15,17,14,28,0.21,2,16,0,0,0,1,0,1,102,2,18:56,--
Juuso Valimaki,20232024,ARI,L,D,68,2,15,17,12,12,0.25,2,13,0,4,0,0,0,0,69,2.9,19:06,--
Jackson LaCombe,20232024,ANA,L,D,71,2,15,17,-24,24,0.24,2,14,0,2,0,1,0,1,55,3.6,19:23,--
Calen Addison,20232024,"MIN,SJS",R,D,72,1,16,17,-38,72,0.24,1,8,0,9,0,0,0,0,93,1.1,17:16,--
Scott Perunovich,20232024,STL,L,D,54,0,17,17,1,12,0.31,0,11,0,6,0,0,0,0,36,0,15:16,--
Sam Carrick,20232024,"ANA,EDM",R,C,77,10,6,16,-11,102,0.21,7,13,1,1,2,2,0,0,92,10.9,12:13,53.4
Trevor Lewis,20232024,LAK,R,C,82,8,8,16,7,20,0.2,7,13,0,1,1,2,0,2,130,6.2,11:38,42.6
Kailer Yamamoto,20232024,SEA,R,R,59,8,8,16,-9,18,0.27,6,10,2,6,0,0,0,2,61,13.1,11:59,35.5
Emil Bemstrom,20232024,"CBJ,PIT",R,C,56,8,8,16,-5,12,0.29,4,11,4,5,0,0,0,1,83,9.6,11:08,37.5
Andre Burakovsky,20232024,SEA,L,L,49,7,9,16,-15,14,0.33,2,7,5,9,0,0,0,1,92,7.6,14:34,50
Brandon Tanev,20232024,SEA,L,L,66,7,9,16,2,51,0.24,7,14,0,0,0,2,0,0,73,9.6,14:35,30
Brian Dumoulin,20232024,SEA,L,D,80,6,10,16,3,20,0.2,6,16,0,0,0,0,0,1,69,8.7,17:01,--
Nicolas Aube-Kubel,20232024,WSH,R,R,60,6,10,16,4,23,0.27,6,16,0,0,0,0,0,0,58,10.3,12:12,33.3
Kent Johnson,20232024,CBJ,L,C,42,6,10,16,-2,10,0.38,6,16,0,0,0,0,1,1,62,9.7,13:33,40
Dougie Hamilton,20232024,NJD,R,D,20,5,11,16,-8,20,0.8,1,8,4,8,0,0,0,0,61,8.2,20:59,--
Lukas Reichel,20232024,CHI,L,L,65,5,11,16,-29,12,0.25,3,14,2,2,0,0,0,0,84,6,14:07,43.4
Patrick Maroon,20232024,"MIN,BOS",L,L,51,4,12,16,-11,60,0.31,4,15,0,1,0,0,0,0,56,7.1,12:51,37.5
Jack Johnson,20232024,COL,L,D,80,3,13,16,15,38,0.2,3,16,0,0,0,0,0,0,76,4,14:56,--
Brett Kulak,20232024,EDM,L,D,82,3,13,16,0,30,0.2,3,15,0,1,0,0,0,1,94,3.2,15:23,--
Martin Fehervary,20232024,WSH,L,D,66,3,13,16,-7,24,0.24,3,15,0,0,0,1,0,0,61,4.9,19:38,--
Alex Vlasic,20232024,CHI,L,D,76,2,14,16,-4,45,0.21,2,14,0,2,0,0,0,1,71,2.8,21:29,--
Adam Pelech,20232024,NYI,L,D,58,1,15,16,-2,27,0.28,1,15,0,0,0,1,1,1,71,1.4,20:17,--
Jeff Carter,20232024,PIT,R,C,72,11,4,15,-7,12,0.21,5,9,4,4,2,2,0,4,90,12.2,12:34,62.5
Dominik Kubalik,20232024,OTT,L,L,74,11,4,15,-30,19,0.2,7,11,4,4,0,0,0,2,91,12.1,12:07,40.5
Kevin Stenlund,20232024,FLA,R,C,81,11,4,15,-10,62,0.19,9,13,0,0,2,2,0,3,81,13.6,12:36,51.4
Alex Nylander,20232024,"PIT,CBJ",R,L,28,11,4,15,-1,6,0.54,9,13,2,2,0,0,0,2,72,15.3,16:15,47.4
Nick Cousins,20232024,FLA,L,C,69,7,8,15,1,64,0.22,7,15,0,0,0,0,0,3,111,6.3,12:11,53.1
Mark Jankowski,20232024,NSH,L,C,32,7,8,15,11,8,0.47,6,13,0,1,1,1,0,1,48,14.6,12:40,50.3
Victor Olofsson,20232024,BUF,L,L,51,7,8,15,-1,4,0.29,6,12,1,3,0,0,0,1,66,10.6,11:34,0
Blake Lizotte,20232024,LAK,L,C,62,7,8,15,11,20,0.24,5,12,0,0,2,3,0,2,76,9.2,11:49,46.9
Arthur Kaliyev,20232024,LAK,L,R,51,7,8,15,-3,14,0.29,4,11,3,4,0,0,0,0,101,6.9,11:48,0
Viktor Arvidsson,20232024,LAK,R,L,18,6,9,15,4,14,0.83,5,10,1,5,0,0,0,1,59,10.2,16:42,33.3
Trevor Zegras,20232024,ANA,L,C,31,6,9,15,-1,30,0.48,5,14,1,1,0,0,0,1,73,8.2,17:05,38.4
Brendan Smith,20232024,NJD,L,D,63,5,10,15,-3,61,0.24,5,15,0,0,0,0,0,0,60,8.3,16:06,--
Frederick Gaudreau,20232024,MIN,R,C,67,5,10,15,-23,12,0.22,3,8,2,7,0,0,0,1,105,4.8,13:57,49.9
Max Jones,20232024,ANA,L,L,52,5,10,15,-6,33,0.29,5,14,0,1,0,0,0,0,76,6.6,12:03,31.3
Kevin Korchinski,20232024,CHI,L,D,76,5,10,15,-39,20,0.2,5,8,0,7,0,0,1,2,93,5.4,19:37,--
Matthew Poitras,20232024,BOS,R,C,33,5,10,15,4,6,0.45,5,14,0,1,0,0,0,1,40,12.5,13:24,43.7
Conor Sheary,20232024,TBL,L,L,57,4,11,15,-3,12,0.26,4,15,0,0,0,0,0,0,50,8,11:06,36.4
Jamie Oleksiak,20232024,SEA,L,D,82,2,13,15,-2,37,0.18,2,13,0,0,0,2,0,0,108,1.9,19:39,--
Tyson Barrie,20232024,NSH,R,D,41,1,14,15,-10,16,0.37,1,9,0,6,0,0,0,0,65,1.5,18:19,--
Zemgus Girgensons,20232024,BUF,L,C,63,8,6,14,-1,21,0.22,8,14,0,0,0,0,0,3,73,11,11:51,47.7
Klim Kostin,20232024,"DET,SJS",L,C,52,8,6,14,-12,53,0.27,8,13,0,1,0,0,0,0,43,18.6,10:55,40
Tanner Jeannot,20232024,TBL,L,L,55,7,7,14,-10,75,0.25,6,12,1,2,0,0,0,0,59,11.9,12:01,35.9
Jeremy Lauzon,20232024,NSH,L,D,79,6,8,14,-3,98,0.18,6,14,0,0,0,0,0,0,103,5.8,18:37,--
Jesper Boqvist,20232024,BOS,L,C,47,6,8,14,12,8,0.3,6,14,0,0,0,0,1,1,51,11.8,11:09,35.7
Logan Stankoven,20232024,DAL,R,C,24,6,8,14,10,4,0.58,5,12,1,2,0,0,0,0,51,11.8,14:40,64.7
Liam O'Brien,20232024,ARI,L,C,75,5,9,14,0,153,0.19,5,14,0,0,0,0,0,0,72,6.9,9:44,21.4
Justin Bailey,20232024,SJS,R,R,59,5,9,14,-15,6,0.24,5,13,0,1,0,0,0,0,70,7.1,11:17,35.3
Taylor Raddysh,20232024,CHI,R,R,73,5,9,14,-19,22,0.19,3,10,1,3,1,1,0,0,120,4.2,15:53,33.3
Hudson Fasching,20232024,NYI,R,R,45,4,10,14,-7,6,0.31,4,14,0,0,0,0,0,1,41,9.8,12:03,50
Brandon Carlo,20232024,BOS,R,D,76,4,10,14,23,42,0.18,4,14,0,0,0,0,0,1,79,5.1,19:54,--
Jacob Bernard-Docker,20232024,OTT,R,D,72,4,10,14,-7,25,0.19,4,13,0,0,0,1,0,0,51,7.8,15:42,--
Zach Bogosian,20232024,"TBL,MIN",R,D,65,3,11,14,11,63,0.22,3,13,0,0,0,1,0,1,83,3.6,17:53,--
Ryan Graves,20232024,PIT,L,D,70,3,11,14,10,30,0.2,3,14,0,0,0,0,0,1,77,3.9,18:23,--
Jordan Harris,20232024,MTL,L,D,56,3,11,14,-5,22,0.25,3,14,0,0,0,0,0,0,43,7,17:28,--
Nate Schmidt,20232024,WPG,L,D,63,2,12,14,10,16,0.22,1,10,1,4,0,0,0,1,75,2.7,16:49,--
Zach Whitecloud,20232024,VGK,R,D,61,2,12,14,-3,32,0.23,2,13,0,0,0,1,0,1,51,3.9,17:35,--
Nick Jensen,20232024,WSH,R,D,78,1,13,14,-9,10,0.18,1,14,0,0,0,0,0,0,71,1.4,19:38,--
Urho Vaakanainen,20232024,ANA,L,D,68,1,13,14,0,26,0.21,1,13,0,0,0,1,0,0,67,1.5,17:29,--
Trevor van Riemsdyk,20232024,WSH,R,D,70,0,14,14,-7,18,0.2,0,13,0,0,0,1,0,0,75,0,18:40,--
Nathan Walker,20232024,STL,L,L,45,7,6,13,-1,18,0.29,7,13,0,0,0,0,0,0,43,16.3,10:49,47.6
Boris Katchouk,20232024,"CHI,OTT",L,L,59,7,6,13,-6,12,0.22,6,12,0,0,1,1,0,0,70,10,11:29,43.6
Justin Barron,20232024,MTL,R,D,48,7,6,13,-3,16,0.27,6,12,1,1,0,0,1,1,60,11.7,18:38,--
Cody Glass,20232024,NSH,R,C,41,6,7,13,-9,20,0.32,6,12,0,1,0,0,0,1,82,7.3,13:26,46.1
Johnathan Kovacevic,20232024,MTL,R,D,62,6,7,13,11,42,0.21,6,13,0,0,0,0,0,0,46,13,16:31,--
Tanner Pearson,20232024,MTL,L,L,54,5,8,13,-12,21,0.24,4,11,1,2,0,0,0,1,77,6.5,12:56,22.7
Brandon Duhaime,20232024,"MIN,COL",L,R,80,5,8,13,-5,70,0.16,4,12,0,0,1,1,0,0,92,5.4,10:52,40
Nico Sturm,20232024,SJS,L,C,63,5,8,13,-25,12,0.21,4,12,0,0,1,1,0,0,69,7.3,14:40,60.1
Jake Bean,20232024,CBJ,L,D,72,4,9,13,-10,32,0.18,4,13,0,0,0,0,0,0,76,5.3,16:20,--
Alexander Barabanov,20232024,SJS,L,L,46,4,9,13,-24,12,0.28,4,11,0,2,0,0,0,0,67,6,15:52,40
Mason Lohrei,20232024,BOS,L,D,41,4,9,13,-2,18,0.32,3,10,1,3,0,0,0,1,43,9.3,16:57,--
Brett Pesce,20232024,CAR,R,D,70,3,10,13,10,20,0.19,3,13,0,0,0,0,1,1,107,2.8,20:17,--
Dante Fabbro,20232024,NSH,R,D,56,3,10,13,9,24,0.23,3,13,0,0,0,0,0,0,65,4.6,16:21,--
Erik Cernak,20232024,TBL,R,D,69,2,11,13,5,63,0.19,2,13,0,0,0,0,0,0,53,3.8,19:11,--
Nick Seeler,20232024,PHI,L,D,71,1,12,13,9,78,0.18,1,9,0,0,0,4,0,0,100,1,16:57,--
Colin Blackwell,20232024,CHI,R,C,44,8,4,12,-2,10,0.27,7,11,1,1,0,0,0,2,88,9.1,14:30,45.7
Carl Grundstrom,20232024,LAK,L,R,50,8,4,12,-2,12,0.24,6,10,1,1,1,1,0,1,95,8.4,10:56,20
Juuso Parssinen,20232024,NSH,L,C,44,8,4,12,-6,12,0.27,6,9,2,3,0,0,0,0,54,14.8,14:36,37.5
Marc-Edouard Vlasic,20232024,SJS,L,D,57,6,6,12,-27,26,0.21,6,12,0,0,0,0,0,1,72,8.3,16:17,--
A.J. Greer,20232024,CGY,L,L,59,6,6,12,-7,35,0.2,5,11,1,1,0,0,0,0,57,10.5,8:50,50
Noah Gregor,20232024,TOR,L,L,63,6,6,12,-7,17,0.19,4,10,1,1,1,1,0,1,110,5.5,11:24,58.3
