Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Ryan Carpenter,20232024,SJS,R,C,62,5,7,12,-16,6,0.19,5,12,0,0,0,0,0,0,58,8.6,11:06,47.8
Derek Ryan,20232024,EDM,R,C,70,5,7,12,-3,8,0.17,3,9,0,0,2,3,0,0,52,9.6,10:12,55.8
Nathan Bastian,20232024,NJD,R,R,54,5,7,12,-10,32,0.22,5,12,0,0,0,0,0,1,57,8.8,10:10,51.9
Mathieu Olivier,20232024,CBJ,R,R,54,5,7,12,-4,70,0.22,4,11,0,0,1,1,0,1,55,9.1,11:17,25
Barclay Goodrow,20232024,NYR,L,C,80,4,8,12,-13,78,0.15,3,11,0,0,1,1,0,1,61,6.6,12:34,54
Mathew Dumba,20232024,"ARI,TBL",R,D,76,4,8,12,-18,88,0.16,4,12,0,0,0,0,0,0,86,4.7,19:44,0
Chris Tierney,20232024,NJD,L,C,52,4,8,12,3,21,0.23,4,12,0,0,0,0,0,0,26,15.4,9:02,57.2
Connor Brown,20232024,EDM,R,R,71,4,8,12,-8,10,0.17,4,12,0,0,0,0,0,0,108,3.7,12:48,41.5
Mattias Janmark,20232024,EDM,L,C,71,4,8,12,0,46,0.17,4,12,0,0,0,0,0,0,67,6,11:54,42.7
Michael Pezzetta,20232024,MTL,L,L,61,3,9,12,4,59,0.2,3,12,0,0,0,0,0,1,42,7.1,7:48,42.9
Jani Hakanp§§,20232024,DAL,R,D,64,2,10,12,10,33,0.19,2,12,0,0,0,0,0,1,56,3.6,18:39,--
Nicolas Hague,20232024,VGK,L,D,73,2,10,12,-5,43,0.16,2,12,0,0,0,0,0,1,105,1.9,18:33,--
Luke Glendening,20232024,TBL,R,C,81,10,1,11,-2,39,0.14,9,10,0,0,1,1,0,1,57,17.5,11:37,56
Thomas Bordeleau,20232024,SJS,L,C,27,6,5,11,-18,18,0.41,2,4,4,7,0,0,0,1,48,12.5,15:01,52.8
MacKenzie Entwistle,20232024,CHI,R,R,67,5,6,11,-29,47,0.16,5,11,0,0,0,0,0,1,66,7.6,11:23,43.8
Isac Lundestrom,20232024,ANA,L,C,46,5,6,11,-1,2,0.24,4,9,0,1,1,1,0,0,38,13.2,14:20,44
Jon Merrill,20232024,MIN,L,D,65,4,7,11,0,30,0.17,4,11,0,0,0,0,0,0,42,9.5,12:47,--
Tony DeAngelo,20232024,CAR,R,D,31,3,8,11,-7,24,0.35,1,5,2,6,0,0,0,0,44,6.8,14:20,--
Henry Thrun,20232024,SJS,L,D,51,3,8,11,-22,16,0.22,1,7,2,4,0,0,0,0,48,6.3,20:00,--
Ian Cole,20232024,VAN,L,D,78,2,9,11,10,61,0.14,2,11,0,0,0,0,0,0,61,3.3,18:41,--
Matthew Grzelcyk,20232024,BOS,L,D,63,2,9,11,13,37,0.17,2,11,0,0,0,0,0,0,59,3.4,17:36,--
Pierre-Olivier Joseph,20232024,PIT,L,D,52,2,9,11,-3,14,0.21,2,11,0,0,0,0,0,1,42,4.8,15:05,--
Vincent Desharnais,20232024,EDM,R,D,78,1,10,11,3,54,0.14,1,10,0,0,0,1,0,0,41,2.4,15:44,--
Kevin Bahl,20232024,NJD,L,D,82,1,10,11,1,82,0.13,1,11,0,0,0,0,0,1,63,1.6,17:24,--
John Beecher,20232024,BOS,L,C,52,7,3,10,-6,24,0.19,7,10,0,0,0,0,0,1,38,18.4,10:37,54.6
Zach Parise,20232024,COL,L,L,30,5,5,10,-7,8,0.33,5,8,0,2,0,0,0,1,50,10,12:58,30.2
Sam Gagner,20232024,EDM,R,C,28,5,5,10,-2,10,0.36,5,9,0,1,0,0,0,2,48,10.4,10:13,62.5
Phillip Di Giuseppe,20232024,VAN,L,L,51,5,5,10,-1,36,0.2,5,10,0,0,0,0,0,1,52,9.6,12:06,29.4
Mark Kastelic,20232024,OTT,R,C,63,5,5,10,-5,63,0.16,5,10,0,0,0,0,0,0,60,8.3,7:43,54.4
Calvin de Haan,20232024,TBL,L,D,59,3,7,10,-9,22,0.17,3,10,0,0,0,0,0,0,56,5.4,16:38,--
Joshua Brown,20232024,ARI,R,D,51,3,7,10,2,75,0.2,3,10,0,0,0,0,0,1,44,6.8,14:45,--
Gustav Lindstrom,20232024,"MTL,ANA",R,D,46,3,7,10,12,24,0.22,3,10,0,0,0,0,0,0,29,10.3,15:24,--
Eric Robinson,20232024,"CBJ,BUF",L,L,47,3,7,10,-3,19,0.21,3,10,0,0,0,0,0,1,61,4.9,11:20,50
Barrett Hayton,20232024,ARI,L,C,33,3,7,10,-13,26,0.3,2,8,1,2,0,0,0,0,66,4.6,17:01,49.8
Jayden Struble,20232024,MTL,L,D,56,3,7,10,-3,57,0.18,3,10,0,0,0,0,0,0,47,6.4,16:07,--
Jamie Drysdale,20232024,"ANA,PHI",R,D,34,3,7,10,-20,8,0.29,2,7,1,2,0,1,0,0,55,5.5,19:37,--
Arber Xhekaj,20232024,MTL,L,D,44,3,7,10,6,81,0.23,3,10,0,0,0,0,0,0,61,4.9,15:56,--
Sam Malinski,20232024,COL,R,D,23,3,7,10,3,6,0.43,2,8,1,2,0,0,0,1,31,9.7,14:14,--
Ben Hutton,20232024,VGK,L,D,41,2,8,10,12,17,0.24,2,9,0,1,0,0,0,0,67,3,16:15,--
Jakub Lauko,20232024,BOS,L,C,60,2,8,10,-3,32,0.17,2,10,0,0,0,0,0,0,43,4.7,9:49,43.8
Rafael Harvey-Pinard,20232024,MTL,L,L,45,2,8,10,-2,6,0.22,2,9,0,0,0,1,0,0,26,7.7,12:38,31.7
Andreas Englund,20232024,LAK,L,D,82,1,9,10,-3,81,0.12,1,10,0,0,0,0,0,0,41,2.4,13:13,--
Andrew Peeke,20232024,"CBJ,BOS",R,D,38,1,9,10,-1,14,0.26,1,9,0,0,0,1,0,0,37,2.7,16:24,--
Conor Timmins,20232024,TOR,R,D,25,1,9,10,9,18,0.4,1,8,0,2,0,0,0,0,25,4,16:01,--
Ty Emberson,20232024,SJS,R,D,30,1,9,10,-4,6,0.33,1,9,0,1,0,0,0,0,31,3.2,18:33,--
Adam Boqvist,20232024,CBJ,R,D,35,1,9,10,-8,0,0.29,1,6,0,4,0,0,0,0,45,2.2,18:17,--
David Jiricek,20232024,CBJ,R,D,43,1,9,10,-4,22,0.23,1,10,0,0,0,0,0,1,38,2.6,14:36,--
Alex Goligoski,20232024,MIN,L,D,36,0,10,10,-8,18,0.28,0,8,0,2,0,0,0,0,32,0,14:49,--
Jacob MacDonald,20232024,SJS,L,D,34,7,2,9,-14,23,0.26,4,5,3,4,0,0,0,0,49,14.3,12:01,25
Tyler Motte,20232024,TBL,L,C,69,6,3,9,-8,28,0.13,4,7,0,0,2,2,0,2,83,7.2,12:27,50.3
Patrik Laine,20232024,CBJ,R,L,18,6,3,9,-10,6,0.5,5,7,1,2,0,0,0,0,41,14.6,15:13,38
Alex Barré-Boulet,20232024,TBL,L,C,36,6,3,9,-9,10,0.25,4,7,2,2,0,0,0,0,46,13,11:11,50
Dylan Holloway,20232024,EDM,L,L,38,6,3,9,-1,29,0.24,5,8,1,1,0,0,0,0,56,10.7,11:22,57.5
Christian Dvorak,20232024,MTL,L,C,30,5,4,9,-5,4,0.3,4,8,1,1,0,0,0,0,35,14.3,15:32,57.8
Julien Gauthier,20232024,NYI,R,R,27,5,4,9,-5,8,0.33,5,9,0,0,0,0,0,1,32,15.6,10:10,37.5
Vinni Lettieri,20232024,MIN,R,C,46,5,4,9,-7,24,0.2,5,9,0,0,0,0,0,1,47,10.6,9:35,49.4
Josh Doan,20232024,ARI,R,R,11,5,4,9,6,0,0.82,5,9,0,0,0,0,0,1,23,21.7,12:19,41.7
Zack Bolduc,20232024,STL,L,C,25,5,4,9,0,6,0.36,5,9,0,0,0,0,0,0,38,13.2,12:01,50
Colin Miller,20232024,"NJD,WPG",R,D,46,4,5,9,8,26,0.2,4,8,0,1,0,0,0,0,69,5.8,15:42,--
Kyle MacLean,20232024,NYI,L,C,32,4,5,9,5,11,0.28,4,9,0,0,0,0,0,0,26,15.4,10:05,42.5
Joshua Roy,20232024,MTL,L,R,23,4,5,9,-2,0,0.39,4,9,0,0,0,0,0,0,34,11.8,12:08,28.6
Mark Giordano,20232024,TOR,L,D,46,3,6,9,10,49,0.2,3,9,0,0,0,0,0,1,59,5.1,16:37,--
Fredrik Olofsson,20232024,COL,L,L,57,3,6,9,-5,8,0.16,3,9,0,0,0,0,0,1,45,6.7,9:45,39.7
Adam Ruzicka,20232024,"CGY,ARI",L,C,42,3,6,9,-9,12,0.21,3,5,0,4,0,0,0,1,35,8.6,10:02,47
Declan Chisholm,20232024,"WPG,MIN",L,D,31,3,6,9,-7,18,0.29,1,4,2,5,0,0,0,0,29,10.3,16:32,--
Joel Kiviranta,20232024,COL,L,L,56,3,6,9,-1,12,0.16,3,9,0,0,0,0,0,0,48,6.3,9:50,28.6
Matt Coronato,20232024,CGY,R,R,34,3,6,9,-15,4,0.26,2,8,1,1,0,0,0,0,58,5.2,12:37,26.3
Andreas Athanasiou,20232024,CHI,L,C,28,2,7,9,-7,7,0.32,2,7,0,2,0,0,0,0,44,4.6,13:06,46.3
Kevin Labanc,20232024,SJS,R,R,46,2,7,9,-27,16,0.2,2,6,0,3,0,0,0,0,60,3.3,11:37,30
Sebastian Aho,20232024,NYI,L,D,58,2,7,9,-7,12,0.16,2,7,0,2,0,0,0,0,48,4.2,16:23,--
Ty Dellandrea,20232024,DAL,R,C,42,2,7,9,-10,23,0.21,2,9,0,0,0,0,0,0,53,3.8,12:40,41.5
Zac Jones,20232024,NYR,L,D,31,2,7,9,1,8,0.29,2,9,0,0,0,0,0,1,42,4.8,14:38,--
Olen Zellweger,20232024,ANA,L,D,26,2,7,9,-6,4,0.35,2,7,0,2,0,0,0,0,34,5.9,19:17,--
Jonas Siegenthaler,20232024,NJD,L,D,57,1,8,9,-7,20,0.16,1,9,0,0,0,0,0,0,63,1.6,19:20,--
Kaedan Korczak,20232024,VGK,R,D,26,1,8,9,12,8,0.35,1,8,0,1,0,0,0,0,32,3.1,16:30,--
Nikita Okhotiuk,20232024,"SJS,CGY",L,D,52,1,8,9,-24,48,0.17,1,9,0,0,0,0,0,1,52,1.9,15:55,--
Ryker Evans,20232024,SEA,L,D,36,1,8,9,-5,20,0.25,1,4,0,5,0,0,0,0,44,2.3,19:11,--
Jarred Tinordi,20232024,CHI,L,D,52,0,9,9,-27,64,0.17,0,8,0,0,0,1,0,0,32,0,15:39,--
Joshua Mahura,20232024,FLA,L,D,30,0,9,9,-2,20,0.3,0,8,0,0,0,1,0,0,25,0,12:36,--
William Carrier,20232024,VGK,L,L,39,6,2,8,3,16,0.21,6,8,0,0,0,0,0,0,65,9.2,11:10,46.7
Matt Martin,20232024,NYI,L,L,57,4,4,8,7,43,0.14,4,8,0,0,0,0,0,0,48,8.3,9:19,38.9
Cole Guttman,20232024,CHI,R,C,27,4,4,8,-17,7,0.3,2,5,2,3,0,0,0,0,50,8,12:37,50
Jesse Ylonen,20232024,MTL,R,R,59,4,4,8,2,12,0.14,4,8,0,0,0,0,0,1,50,8,10:14,55.6
Dakota Mermis,20232024,MIN,L,D,47,3,5,8,-2,33,0.17,3,8,0,0,0,0,0,0,42,7.1,14:05,--
Dryden Hunt,20232024,CGY,L,L,28,3,5,8,1,7,0.29,3,8,0,0,0,0,0,1,33,9.1,11:08,40
Oliver Kylington,20232024,CGY,L,D,33,3,5,8,-6,12,0.24,3,8,0,0,0,0,0,0,42,7.1,17:15,--
Marco Scandella,20232024,STL,L,D,65,2,6,8,2,15,0.12,1,7,0,0,1,1,0,1,42,4.8,12:28,--
Travis Boyd,20232024,ARI,R,C,16,2,6,8,3,2,0.5,2,8,0,0,0,0,0,1,12,16.7,9:37,53.5
Connor Murphy,20232024,CHI,R,D,46,2,6,8,-19,40,0.17,2,8,0,0,0,0,0,0,51,3.9,19:50,--
Kyle Burroughs,20232024,SJS,R,D,73,2,6,8,-42,71,0.11,2,7,0,1,0,0,0,1,79,2.5,19:09,--
Brendan Brisson,20232024,VGK,L,C,15,2,6,8,-5,2,0.53,1,6,1,2,0,0,0,1,20,10,12:20,50
Jacob Bryson,20232024,BUF,L,D,36,1,7,8,5,8,0.22,1,8,0,0,0,0,0,0,15,6.7,14:41,--
Parker Wotherspoon,20232024,BOS,L,D,41,0,8,8,6,31,0.2,0,8,0,0,0,0,0,0,32,0,17:43,--
Ilya Lyubushkin,20232024,"ANA,TOR",R,D,74,0,8,8,-11,57,0.11,0,8,0,0,0,0,0,0,47,0,17:07,--
Ryan Lomberg,20232024,FLA,L,L,75,5,2,7,-1,80,0.09,4,6,1,1,0,0,0,2,68,7.4,9:32,29.4
Justin Brazeau,20232024,BOS,R,R,19,5,2,7,4,2,0.37,3,5,2,2,0,0,0,1,31,16.1,11:07,30
Michael Sgarbossa,20232024,WSH,L,C,25,4,3,7,0,2,0.28,4,6,0,1,0,0,0,1,27,14.8,10:58,46
Pierre-Edouard Bellemare,20232024,SEA,L,L,40,4,3,7,4,6,0.18,3,6,0,0,1,1,0,0,36,11.1,9:50,53.5
Noel Acciari,20232024,PIT,R,C,55,4,3,7,-7,10,0.13,4,7,0,0,0,0,0,1,59,6.8,12:58,54.5
Mitchell Chaffee,20232024,TBL,R,R,30,4,3,7,2,4,0.23,4,7,0,0,0,0,0,0,27,14.8,11:17,0
Radim Zohorna,20232024,PIT,L,L,33,4,3,7,0,18,0.21,4,7,0,0,0,0,0,1,38,10.5,9:46,50
Dillon Dube,20232024,CGY,L,C,43,3,4,7,-13,8,0.16,2,6,1,1,0,0,0,0,42,7.1,11:10,53.1
David Gustafsson,20232024,WPG,L,C,39,3,4,7,1,0,0.18,3,7,0,0,0,0,0,0,27,11.1,9:16,54.6
Nils Aman,20232024,VAN,L,C,43,3,4,7,-3,8,0.16,3,7,0,0,0,0,0,0,28,10.7,10:20,45.6
Daniil Miromanov,20232024,"VGK,CGY",R,D,24,3,4,7,-2,8,0.29,3,5,0,2,0,0,0,0,46,6.5,20:43,--
Travis Dermott,20232024,ARI,L,D,50,2,5,7,-14,26,0.14,2,7,0,0,0,0,0,0,38,5.3,17:17,--
Nikita Zaitsev,20232024,CHI,R,D,38,2,5,7,-5,14,0.18,2,5,0,2,0,0,0,0,31,6.5,15:56,--
Nick DeSimone,20232024,"CGY,NJD",R,D,34,2,5,7,3,4,0.21,2,7,0,0,0,0,0,1,28,7.1,13:29,--
Brayden Pachal,20232024,"VGK,CGY",R,D,50,2,5,7,-3,51,0.14,2,6,0,0,0,1,0,0,52,3.9,14:41,--
Walker Duehr,20232024,CGY,R,R,40,2,5,7,-3,6,0.18,2,7,0,0,0,0,0,0,29,6.9,8:07,16.7
Luke Schenn,20232024,NSH,R,D,63,1,6,7,1,43,0.11,1,7,0,0,0,0,0,0,81,1.2,15:11,--
Sammy Blais,20232024,STL,L,L,53,1,6,7,-11,31,0.13,1,7,0,0,0,0,0,0,33,3,9:41,22.2
Noah Juulsen,20232024,VAN,R,D,54,1,6,7,-1,22,0.13,1,7,0,0,0,0,0,0,30,3.3,14:54,--
Dennis Gilbert,20232024,CGY,L,D,34,1,6,7,-7,16,0.21,1,7,0,0,0,0,0,0,23,4.4,12:17,--
Troy Stecher,20232024,"ARI,EDM",R,D,54,1,6,7,9,32,0.13,1,7,0,0,0,0,0,0,51,2,18:07,--
Mattias Samuelsson,20232024,BUF,L,D,41,1,6,7,4,26,0.17,1,7,0,0,0,0,0,1,44,2.3,20:30,--
Matthew Kessel,20232024,STL,R,D,39,1,6,7,0,12,0.18,1,7,0,0,0,0,0,0,28,3.6,16:48,--
Ryan Johnson,20232024,BUF,L,D,41,0,7,7,3,12,0.17,0,7,0,0,0,0,0,0,35,0,13:52,--
Wyatt Kaiser,20232024,CHI,L,D,32,0,7,7,0,22,0.22,0,7,0,0,0,0,0,0,18,0,17:19,--
Erik Johnson,20232024,"BUF,PHI",R,D,67,5,1,6,-14,26,0.09,5,6,0,0,0,0,0,1,60,8.3,14:28,--
Ryan Reaves,20232024,TOR,R,R,49,4,2,6,-13,49,0.12,4,6,0,0,0,0,0,0,26,15.4,8:07,100
Tyson Jost,20232024,BUF,L,C,43,3,3,6,-11,10,0.14,3,6,0,0,0,0,0,0,48,6.3,10:36,42.6
Travis Hamonic,20232024,OTT,R,D,48,2,4,6,-10,40,0.13,2,6,0,0,0,0,0,0,50,4,14:44,--
Carson Soucy,20232024,VAN,L,D,40,2,4,6,10,12,0.15,1,4,1,2,0,0,0,0,29,6.9,17:29,--
Tomas Nosek,20232024,NJD,L,L,36,2,4,6,-11,6,0.17,2,6,0,0,0,0,0,0,38,5.3,11:49,51.9
Jakub Vrana,20232024,STL,L,L,21,2,4,6,-7,8,0.29,2,6,0,0,0,0,0,0,42,4.8,12:08,0
Oliver Wahlstrom,20232024,NYI,R,R,32,2,4,6,-6,8,0.19,1,4,1,2,0,0,0,0,41,4.9,11:04,41.7
Jonatan Berggren,20232024,DET,L,R,12,2,4,6,-1,2,0.5,2,6,0,0,0,0,0,0,14,14.3,10:52,--
Brandt Clarke,20232024,LAK,R,D,16,2,4,6,-6,10,0.38,2,3,0,3,0,0,1,1,31,6.5,13:39,--
Ivan Miroshnichenko,20232024,WSH,R,L,21,2,4,6,-4,6,0.29,2,5,0,1,0,0,0,0,30,6.7,12:08,0
Joel Edmundson,20232024,"WSH,TOR",L,D,53,1,5,6,-2,23,0.11,1,6,0,0,0,0,0,0,46,2.2,16:40,--
Zachary Sanford,20232024,"ARI,CHI",L,L,29,0,6,6,0,6,0.21,0,5,0,1,0,0,0,0,24,0,10:50,35.3
Filip Chytil,20232024,NYR,L,C,10,0,6,6,0,4,0.6,0,5,0,1,0,0,0,0,22,0,15:56,43.3
Isaak Phillips,20232024,CHI,L,D,33,0,6,6,-26,22,0.18,0,6,0,0,0,0,0,0,31,0,17:04,--
Shane Wright,20232024,SEA,R,C,8,4,1,5,1,0,0.63,4,4,0,1,0,0,0,3,12,33.3,13:32,50.6
Brendan Lemieux,20232024,CAR,L,L,32,3,2,5,0,64,0.16,3,5,0,0,0,0,0,1,29,10.3,8:00,26.7
John Ludvig,20232024,PIT,L,D,33,3,2,5,-12,47,0.15,3,5,0,0,0,0,0,1,24,12.5,11:48,--
Axel Jonsson-Fjallby,20232024,WPG,L,L,26,2,3,5,6,0,0.19,2,5,0,0,0,0,0,1,23,8.7,8:07,50
Reese Johnson,20232024,CHI,R,C,42,2,3,5,-20,40,0.12,2,5,0,0,0,0,0,0,51,3.9,10:56,51.9
Jake Lucchini,20232024,MIN,L,C,40,2,3,5,-3,23,0.13,2,5,0,0,0,0,0,0,22,9.1,9:36,43.7
Samuel Bolduc,20232024,NYI,L,D,34,2,3,5,-4,6,0.15,1,4,1,1,0,0,0,0,32,6.3,13:09,--
Marc Staal,20232024,PHI,L,D,35,1,4,5,2,14,0.14,1,5,0,0,0,0,0,0,20,5,13:49,--
Nick Bonino,20232024,NYR,L,C,45,1,4,5,-12,8,0.11,1,5,0,0,0,0,0,0,31,3.2,12:15,51
Dominic Toninato,20232024,WPG,L,C,15,1,4,5,7,6,0.33,1,5,0,0,0,0,0,1,12,8.3,10:11,47.7
Joel Hanley,20232024,"DAL,CGY",L,D,42,1,4,5,3,30,0.12,1,5,0,0,0,0,0,0,19,5.3,13:54,--
Haydn Fleury,20232024,TBL,L,D,24,1,4,5,5,20,0.21,1,5,0,0,0,0,0,0,25,4,16:07,--
Matthew Phillips,20232024,"WSH,PIT,WSH",R,R,31,1,4,5,-3,0,0.16,1,5,0,0,0,0,0,0,21,4.8,10:11,33.3
Olle Lycksell,20232024,PHI,L,R,18,1,4,5,0,6,0.28,1,5,0,0,0,0,0,0,29,3.5,9:57,40
Simon Benoit,20232024,TOR,L,D,64,1,4,5,7,56,0.08,1,5,0,0,0,0,0,0,52,1.9,17:14,--
Jared Spurgeon,20232024,MIN,R,D,16,0,5,5,5,2,0.31,0,2,0,3,0,0,0,0,21,0,23:20,--
Justin Holl,20232024,DET,R,D,38,0,5,5,8,22,0.13,0,5,0,0,0,0,0,0,14,0,15:05,--
John Klingberg,20232024,TOR,R,D,14,0,5,5,-7,8,0.36,0,3,0,2,0,0,0,0,14,0,20:33,--
Scott Mayfield,20232024,NYI,R,D,41,0,5,5,-7,35,0.12,0,5,0,0,0,0,0,0,36,0,18:46,--
Caleb Jones,20232024,COL,L,D,25,0,5,5,4,8,0.2,0,5,0,0,0,0,0,0,19,0,12:12,--
Emil Lilleberg,20232024,TBL,L,D,37,0,5,5,-15,16,0.14,0,5,0,0,0,0,0,0,31,0,16:12,--
Max Willman,20232024,NJD,L,C,18,3,1,4,1,2,0.22,3,4,0,0,0,0,0,1,17,17.7,8:20,33.3
Kevin Rooney,20232024,CGY,L,C,33,3,1,4,-4,2,0.12,3,4,0,0,0,0,0,0,27,11.1,11:13,46.6
Jesse Puljujarvi,20232024,PIT,R,R,22,3,1,4,2,6,0.18,3,4,0,0,0,0,0,0,29,10.3,9:11,16.7
Akil Thomas,20232024,LAK,R,C,7,3,1,4,0,2,0.57,3,4,0,0,0,0,0,1,9,33.3,8:44,40
Mason Morelli,20232024,VGK,L,L,9,3,1,4,-3,0,0.44,2,3,1,1,0,0,0,0,9,33.3,10:45,33.3
Austin Watson,20232024,TBL,R,L,33,2,2,4,2,93,0.12,2,4,0,0,0,0,0,0,17,11.8,7:16,0
Taylor Hall,20232024,CHI,L,L,10,2,2,4,-3,4,0.4,2,3,0,1,0,0,0,1,20,10,16:20,66.7
Brendan Gaunce,20232024,CBJ,L,C,24,2,2,4,-7,6,0.17,2,4,0,0,0,0,0,0,24,8.3,11:45,53.9
Louie Belpedio,20232024,PHI,R,D,12,2,2,4,6,0,0.33,2,4,0,0,0,0,0,1,12,16.7,13:12,--
Jonah Gadjovich,20232024,FLA,L,L,39,2,2,4,0,104,0.1,2,4,0,0,0,0,0,0,29,6.9,7:26,--
Spencer Stastney,20232024,NSH,L,D,20,2,2,4,9,4,0.2,2,4,0,0,0,0,0,1,11,18.2,15:59,--
James Malatesta,20232024,CBJ,L,L,11,2,2,4,-1,5,0.36,2,4,0,0,0,0,0,0,12,16.7,10:13,0
Nicolas Deslauriers,20232024,PHI,L,L,60,1,3,4,-7,89,0.07,1,4,0,0,0,0,0,0,49,2,8:09,38.5
Tyler Pitlick,20232024,NYR,R,C,34,1,3,4,-6,4,0.12,1,4,0,0,0,0,0,0,32,3.1,10:12,17.7
Matt Nieto,20232024,PIT,L,L,22,1,3,4,5,4,0.18,1,4,0,0,0,0,0,0,13,7.7,11:37,--
Devin Shore,20232024,SEA,L,C,21,1,3,4,3,4,0.19,1,4,0,0,0,0,0,0,15,6.7,8:00,50
Chad Ruhwedel,20232024,"PIT,NYR",R,D,52,1,3,4,-6,4,0.08,1,4,0,0,0,0,0,0,35,2.9,12:42,--
Rasmus Ristolainen,20232024,PHI,R,D,31,1,3,4,-6,8,0.13,1,4,0,0,0,0,0,0,46,2.2,16:41,--
Ross Johnston,20232024,ANA,L,L,68,1,3,4,-12,117,0.06,1,4,0,0,0,0,0,0,44,2.3,8:12,50
Ethan Bear,20232024,WSH,R,D,24,1,3,4,-5,10,0.17,1,4,0,0,0,0,0,1,24,4.2,14:54,--
Givani Smith,20232024,SJS,L,R,36,1,3,4,-13,40,0.11,1,4,0,0,0,0,0,0,31,3.2,7:49,40
Jaret Anderson-Dolan,20232024,"LAK,NSH",L,C,31,1,3,4,-5,6,0.13,0,3,0,0,1,1,0,0,31,3.2,11:03,41.7
Alex Turcotte,20232024,LAK,L,C,20,1,3,4,5,6,0.2,1,4,0,0,0,0,0,0,14,7.1,9:17,50
Vladislav Kolyachonok,20232024,ARI,L,D,5,1,3,4,5,2,0.8,1,4,0,0,0,0,0,0,5,20,12:28,--
Landon Slaggert,20232024,CHI,L,L,16,1,3,4,1,4,0.25,1,4,0,0,0,0,0,0,14,7.1,11:16,0
Marat Khusnutdinov,20232024,MIN,L,C,16,1,3,4,-3,6,0.25,0,3,1,1,0,0,0,0,6,16.7,13:07,47.6
Derek Forbort,20232024,BOS,L,D,35,0,4,4,8,17,0.11,0,4,0,0,0,0,0,0,22,0,17:48,--
William Lagesson,20232024,"TOR,ANA",L,D,40,0,4,4,3,32,0.1,0,4,0,0,0,0,0,0,19,0,14:48,--
Jansen Harkins,20232024,PIT,L,C,45,0,4,4,-4,21,0.09,0,4,0,0,0,0,0,0,37,0,8:12,100
Kurtis MacDermid,20232024,"COL,NJD",L,L,45,2,1,3,4,73,0.07,2,3,0,0,0,0,0,1,16,12.5,4:50,100
Rourke Chartier,20232024,OTT,L,C,37,2,1,3,-4,14,0.08,2,3,0,0,0,0,0,1,40,5,10:46,52
Mitchell Stephens,20232024,MTL,R,C,23,2,1,3,2,4,0.13,2,3,0,0,0,0,0,0,16,12.5,9:03,55.6
Zack MacEwen,20232024,OTT,R,R,30,2,1,3,-4,57,0.1,2,3,0,0,0,0,0,1,17,11.8,6:24,61.8
Trey Fix-Wolansky,20232024,CBJ,R,R,11,2,1,3,0,2,0.27,2,3,0,0,0,0,0,0,17,11.8,10:59,0
