Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
James Hamblin,20232024,EDM,L,L,31,2,1,3,3,0,0.1,2,3,0,0,0,0,0,0,18,11.1,7:55,50.6
Sheldon Rempal,20232024,VGK,R,R,9,2,1,3,-2,4,0.33,1,2,1,1,0,0,0,0,16,12.5,9:58,--
Angus Crookshank,20232024,OTT,L,L,13,2,1,3,-3,4,0.23,2,3,0,0,0,0,0,1,20,10,10:07,--
Brock McGinn,20232024,ANA,L,L,24,1,2,3,-5,4,0.13,1,3,0,0,0,0,0,0,24,4.2,11:05,41.7
Vinnie Hinostroza,20232024,PIT,R,C,14,1,2,3,-3,4,0.21,1,3,0,0,0,0,0,0,27,3.7,9:45,40
Anthony Richard,20232024,BOS,L,C,9,1,2,3,0,2,0.33,1,3,0,0,0,0,0,0,6,16.7,10:36,0
Steven Lorentz,20232024,FLA,L,C,38,1,2,3,-9,10,0.08,1,3,0,0,0,0,0,1,30,3.3,8:47,48.9
Mason Shaw,20232024,MIN,L,C,20,1,2,3,0,34,0.15,1,3,0,0,0,0,0,0,21,4.8,8:11,87.5
Jonas Rondbjerg,20232024,VGK,L,R,20,1,2,3,2,0,0.15,1,3,0,0,0,0,0,0,25,4,11:17,0
Alexander Alexeyev,20232024,WSH,L,D,39,1,2,3,-8,6,0.08,1,3,0,0,0,0,0,0,20,5,13:42,--
Jakob Pelletier,20232024,CGY,L,L,13,1,2,3,1,2,0.23,1,3,0,0,0,0,0,1,9,11.1,9:16,50
Tristan Luneau,20232024,ANA,R,D,7,1,2,3,1,4,0.43,1,3,0,0,0,0,0,0,11,9.1,17:52,--
Ben Meyers,20232024,"COL,ANA",L,C,23,1,2,3,-4,6,0.13,1,3,0,0,0,0,0,0,12,8.3,10:07,44.8
Uvis Balinskis,20232024,FLA,L,D,26,1,2,3,0,8,0.12,1,3,0,0,0,0,0,0,22,4.6,14:06,--
Liam Foudy,20232024,"CBJ,NSH",L,C,13,0,3,3,-2,2,0.23,0,3,0,0,0,0,0,0,7,0,9:59,--
Marc Del Gaizo,20232024,NSH,L,D,9,0,3,3,2,2,0.33,0,3,0,0,0,0,0,0,8,0,16:28,--
Louis Crevier,20232024,CHI,R,D,24,0,3,3,-16,4,0.13,0,3,0,0,0,0,0,0,18,0,15:41,--
Ilya Solovyov,20232024,CGY,L,D,10,0,3,3,-3,4,0.3,0,2,0,0,0,1,0,0,10,0,15:54,--
Adam Edstrom,20232024,NYR,L,C,11,2,0,2,2,2,0.18,2,2,0,0,0,0,0,0,7,28.6,8:25,--
Brandon Biro,20232024,BUF,L,L,5,2,0,2,0,0,0.4,2,2,0,0,0,0,0,0,2,100,10:51,47.8
Chris Wagner,20232024,COL,R,R,13,1,1,2,3,9,0.15,1,2,0,0,0,0,0,0,16,6.3,7:27,58.1
Adam Erne,20232024,EDM,L,L,24,1,1,2,0,9,0.08,1,2,0,0,0,0,0,0,13,7.7,7:49,44.4
Denis Gurianov,20232024,"NSH,PHI",L,R,18,1,1,2,4,0,0.11,1,2,0,0,0,0,0,0,26,3.9,12:13,--
Riley Tufte,20232024,COL,L,L,5,1,1,2,-2,2,0.4,1,2,0,0,0,0,0,1,7,14.3,11:07,50
Logan Stanley,20232024,WPG,L,D,25,1,1,2,4,36,0.08,1,2,0,0,0,0,0,0,29,3.5,13:46,--
Carson Meyer,20232024,CBJ,R,R,14,1,1,2,-2,2,0.14,1,2,0,0,0,0,0,0,10,10,9:07,--
Tyler Tucker,20232024,STL,L,D,26,1,1,2,1,42,0.08,1,2,0,0,0,0,0,0,17,5.9,12:27,--
Danil Gushchin,20232024,SJS,L,L,4,1,1,2,-2,0,0.5,1,2,0,0,0,0,0,0,4,25,14:41,0
Vasily Ponomarev,20232024,CAR,L,C,2,1,1,2,1,0,1,1,2,0,0,0,0,0,0,1,100,9:41,55.6
Matt Rempe,20232024,NYR,R,C,17,1,1,2,1,71,0.12,1,2,0,0,0,0,0,1,12,8.3,5:38,50
Simon Edvinsson,20232024,DET,L,D,16,1,1,2,0,4,0.13,1,2,0,0,0,0,0,0,13,7.7,18:15,--
Liam Ohgren,20232024,MIN,L,L,4,1,1,2,0,0,0.5,1,2,0,0,0,0,0,1,8,12.5,14:31,0
Jiri Smejkal,20232024,OTT,L,L,20,1,1,2,-6,4,0.1,1,2,0,0,0,0,0,0,10,10,9:29,40.7
Milan Lucic,20232024,BOS,L,L,4,0,2,2,-1,2,0.5,0,2,0,0,0,0,0,0,1,0,11:58,--
Matt Benning,20232024,SJS,R,D,14,0,2,2,-5,14,0.14,0,2,0,0,0,0,0,0,13,0,18:29,--
Jaycob Megna,20232024,CHI,L,D,44,0,2,2,-15,22,0.05,0,2,0,0,0,0,0,0,28,0,17:31,--
Nic Petan,20232024,MIN,L,C,6,0,2,2,-2,2,0.33,0,1,0,1,0,0,0,0,11,0,10:50,40
Jordan Oesterle,20232024,CGY,L,D,22,0,2,2,-6,4,0.09,0,2,0,0,0,0,0,0,18,0,13:31,--
Matthew Highmore,20232024,OTT,L,C,7,0,2,2,0,0,0.29,0,2,0,0,0,0,0,0,1,0,7:43,50
Ian Mitchell,20232024,BOS,R,D,13,0,2,2,6,10,0.15,0,2,0,0,0,0,0,0,11,0,15:18,--
Bo Groulx,20232024,ANA,L,C,45,0,2,2,-9,22,0.04,0,2,0,0,0,0,0,0,32,0,12:11,44
Cole Koepke,20232024,TBL,L,L,9,0,2,2,0,0,0.22,0,2,0,0,0,0,0,0,9,0,6:42,--
Jake Christiansen,20232024,CBJ,L,D,12,0,2,2,-5,2,0.17,0,2,0,0,0,0,0,0,7,0,13:13,--
Ronnie Attard,20232024,PHI,R,D,12,0,2,2,1,6,0.17,0,2,0,0,0,0,0,0,14,0,15:23,--
Kirby Dach,20232024,MTL,R,C,2,0,2,2,2,0,1,0,2,0,0,0,0,0,0,3,0,13:01,37.5
Nikita Alexandrov,20232024,STL,L,C,23,0,2,2,-4,4,0.09,0,2,0,0,0,0,0,0,15,0,8:32,40.7
Adam Beckman,20232024,MIN,L,L,11,0,2,2,-2,12,0.18,0,2,0,0,0,0,0,0,10,0,9:24,--
Philip Broberg,20232024,EDM,L,D,12,0,2,2,-3,0,0.17,0,1,0,1,0,0,0,0,6,0,11:37,--
Vasily Podkolzin,20232024,VAN,L,R,19,0,2,2,-4,8,0.11,0,2,0,0,0,0,0,0,20,0,10:49,37.5
Santeri Hatakka,20232024,NJD,L,D,12,0,2,2,5,4,0.17,0,2,0,0,0,0,0,0,12,0,14:39,--
Maxwell Crozier,20232024,TBL,R,D,13,0,2,2,-2,7,0.15,0,2,0,0,0,0,0,0,13,0,12:56,--
Lukas Rousek,20232024,BUF,L,R,15,0,2,2,-1,0,0.13,0,2,0,0,0,0,0,0,4,0,10:38,100
Mikael Pyyhtia,20232024,CBJ,L,L,17,0,2,2,-5,0,0.12,0,2,0,0,0,0,0,0,22,0,13:09,25
Lane Hutson,20232024,MTL,L,D,2,0,2,2,-2,0,1,0,2,0,0,0,0,0,0,3,0,22:43,--
Collin Graf,20232024,SJS,R,R,7,0,2,2,-4,0,0.29,0,1,0,1,0,0,0,0,7,0,16:36,--
Justin Dowling,20232024,NJD,L,C,2,1,0,1,-2,0,0.5,1,1,0,0,0,0,0,0,3,33.3,10:32,30.8
Ryan Shea,20232024,PIT,L,D,31,1,0,1,1,6,0.03,1,1,0,0,0,0,0,0,17,5.9,12:37,--
Brandon Gignac,20232024,MTL,L,C,7,1,0,1,-3,0,0.14,1,1,0,0,0,0,0,0,7,14.3,11:39,45.3
Jacob Moverare,20232024,LAK,L,D,24,1,0,1,0,6,0.04,1,1,0,0,0,0,0,0,11,9.1,10:27,--
Oskar Steen,20232024,BOS,R,C,34,1,0,1,-2,4,0.03,1,1,0,0,0,0,0,0,24,4.2,9:04,0
Jack Studnicka,20232024,"VAN,SJS",R,C,22,1,0,1,-12,6,0.05,1,1,0,0,0,0,0,0,20,5,11:27,39.9
Jonathan Gruden,20232024,PIT,L,C,13,1,0,1,-2,5,0.08,1,1,0,0,0,0,0,0,9,11.1,8:40,33.3
Adam Ginning,20232024,PHI,L,D,9,1,0,1,0,0,0.11,1,1,0,0,0,0,0,0,6,16.7,14:09,--
John Leonard,20232024,ARI,L,L,6,1,0,1,-1,0,0.17,1,1,0,0,0,0,0,0,5,20,6:52,--
Samuel Fagemo,20232024,"NSH,LAK",R,L,8,1,0,1,-1,0,0.13,0,0,1,1,0,0,0,0,13,7.7,9:11,0
Nolan Foote,20232024,NJD,L,L,4,1,0,1,-1,0,0.25,1,1,0,0,0,0,0,0,6,16.7,10:06,0
Nikita Nesterenko,20232024,ANA,L,C,3,1,0,1,0,0,0.33,1,1,0,0,0,0,0,0,7,14.3,11:31,--
Sam Colangelo,20232024,ANA,R,R,3,1,0,1,0,2,0.33,1,1,0,0,0,0,0,0,7,14.3,12:33,--
Jean-Luc Foudy,20232024,COL,R,C,4,1,0,1,1,0,0.25,1,1,0,0,0,0,0,0,2,50,6:26,--
Nikita Chibrikov,20232024,WPG,L,R,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,3,33.3,11:03,--
Marc McLaughlin,20232024,BOS,R,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,2,50,12:39,25
Luca Del Bel Belluz,20232024,CBJ,L,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,2,50,9:35,40
Frank Nazar,20232024,CHI,R,C,3,1,0,1,-4,0,0.33,1,1,0,0,0,0,0,0,2,50,16:09,31.8
Nick Blankenburg,20232024,CBJ,R,D,12,1,0,1,1,4,0.08,1,1,0,0,0,0,0,0,10,10,16:13,--
Adam Klapka,20232024,CGY,R,R,6,1,0,1,-1,19,0.17,1,1,0,0,0,0,0,0,4,25,6:46,0
Jason Polin,20232024,COL,R,R,7,1,0,1,1,2,0.14,1,1,0,0,0,0,0,0,6,16.7,7:25,50
Waltteri Merela,20232024,TBL,R,C,19,1,0,1,2,4,0.05,1,1,0,0,0,0,0,0,17,5.9,9:49,25
Nicklas Backstrom,20232024,WSH,L,C,8,0,1,1,-3,2,0.13,0,1,0,0,0,0,0,0,12,0,14:34,52.4
Logan Couture,20232024,SJS,L,C,6,0,1,1,0,4,0.17,0,1,0,0,0,0,0,0,7,0,18:45,47.9
Byron Froese,20232024,VGK,R,C,16,0,1,1,-2,4,0.06,0,1,0,0,0,0,0,0,17,0,10:40,55.7
Dylan McIlrath,20232024,WSH,R,D,3,0,1,1,1,5,0.33,0,1,0,0,0,0,0,0,1,0,10:18,--
Mackenzie MacEachern,20232024,STL,L,L,8,0,1,1,-1,0,0.13,0,1,0,0,0,0,0,0,4,0,7:52,--
Patrick Brown,20232024,BOS,R,C,11,0,1,1,-3,2,0.09,0,1,0,0,0,0,0,0,7,0,8:50,45.5
Mark Friedman,20232024,VAN,R,D,23,0,1,1,4,21,0.04,0,1,0,0,0,0,0,0,16,0,12:14,--
Austin Czarnik,20232024,DET,R,C,34,0,1,1,-3,12,0.03,0,1,0,0,0,0,0,0,24,0,8:26,49
Maxime Lajoie,20232024,TOR,L,D,7,0,1,1,1,0,0.14,0,0,0,1,0,0,0,0,1,0,12:43,--
Lucas Johansen,20232024,WSH,L,D,6,0,1,1,1,4,0.17,0,1,0,0,0,0,0,0,4,0,14:16,--
Kale Clague,20232024,BUF,L,D,3,0,1,1,0,2,0.33,0,1,0,0,0,0,0,0,2,0,12:16,--
William Lockwood,20232024,FLA,R,R,26,0,1,1,2,16,0.04,0,1,0,0,0,0,0,0,19,0,8:12,50
Hardy Haman Aktell,20232024,WSH,L,D,6,0,1,1,-2,2,0.17,0,1,0,0,0,0,0,0,5,0,10:38,--
Cal Foote,20232024,NJD,R,D,4,0,1,1,3,16,0.25,0,1,0,0,0,0,0,0,0,--,14:46,--
Maxime Comtois,20232024,CAR,L,L,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,13:04,--
Calle Rosen,20232024,STL,L,D,6,0,1,1,-1,2,0.17,0,1,0,0,0,0,0,0,5,0,12:40,--
Rasmus Kupari,20232024,WPG,R,C,28,0,1,1,-5,4,0.04,0,1,0,0,0,0,0,0,28,0,9:08,46.7
Jan Jenik,20232024,ARI,L,C,5,0,1,1,-1,5,0.2,0,1,0,0,0,0,0,0,2,0,8:23,46.7
Ruslan Iskhakov,20232024,NYI,L,C,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,14:11,--
Jack St. Ivany,20232024,PIT,R,D,14,0,1,1,0,2,0.07,0,1,0,0,0,0,0,0,11,0,13:42,--
Aku Raty,20232024,ARI,R,R,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,--,11:45,--
Nikolai Knyzhov,20232024,SJS,L,D,10,0,1,1,-6,6,0.1,0,1,0,0,0,0,0,0,6,0,17:39,--
Daemon Hunt,20232024,MIN,L,D,12,0,1,1,-1,0,0.08,0,1,0,0,0,0,0,0,7,0,11:30,--
Tyler Kleven,20232024,OTT,L,D,9,0,1,1,-1,2,0.11,0,1,0,0,0,0,0,0,7,0,12:39,--
Lukas Cormier,20232024,VGK,L,D,2,0,1,1,1,0,0.5,0,0,0,1,0,0,0,0,3,0,17:17,--
Roby Jarventie,20232024,OTT,L,L,7,0,1,1,-5,4,0.14,0,1,0,0,0,0,0,0,5,0,7:31,31.4
Shakir Mukhamadullin,20232024,SJS,L,D,3,0,1,1,0,4,0.33,0,0,0,1,0,0,0,0,5,0,21:09,--
Logan Mailloux,20232024,MTL,R,D,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,21:14,--
Cutter Gauthier,20232024,ANA,L,L,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,3,0,15:24,0
Brad Lambert,20232024,WPG,R,C,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,13:51,42.9
Milos Kelemen,20232024,ARI,L,L,10,0,1,1,-2,0,0.1,0,1,0,0,0,0,0,0,5,0,7:41,25
Riley Nash,20232024,NYR,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11:05,50
Robert Bortuzzo,20232024,"STL,NYI",R,D,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,11,0,13:44,--
Alexander Petrovic,20232024,DAL,R,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,12:52,--
Max McCormick,20232024,SEA,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,5:38,--
Derrick Pouliot,20232024,DAL,L,D,5,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,5,0,12:08,--
Jujhar Khaira,20232024,MIN,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8:05,0
Jayson Megna,20232024,BOS,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,11:45,--
Scott Sabourin,20232024,SJS,R,R,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,9:17,0
Anton Blidh,20232024,NYR,L,L,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,5:21,--
John Hayden,20232024,SEA,R,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,6:44,50
Robert Hagg,20232024,ANA,L,D,5,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,6,0,12:47,--
Gustav Olofsson,20232024,SEA,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,14:57,--
Justin Kirkland,20232024,ARI,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7:14,66.7
Oskar Lindblom,20232024,SJS,L,L,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,11:56,--
Bokondji Imama,20232024,OTT,L,L,6,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,5:35,--
Colin White,20232024,"PIT,MTL",R,C,28,0,0,0,-5,4,0,0,0,0,0,0,0,0,0,16,0,9:31,38.4
Glenn Gawdin,20232024,ANA,R,C,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,--,7:35,40
Adam Gaudette,20232024,STL,R,R,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,--,9:48,--
Brett Seney,20232024,CHI,L,L,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,10:21,33.3
Samuel Laberge,20232024,NJD,L,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,3:06,--
Philippe Myers,20232024,TBL,R,D,5,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,6,0,11:42,--
Andrew Poturalski,20232024,SEA,R,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,6:53,100
Victor Mete,20232024,PHI,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,10:52,--
Brett Murray,20232024,BUF,L,L,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,7:58,100
Rem Pitlick,20232024,CHI,L,C,9,0,0,0,-7,2,0,0,0,0,0,0,0,0,0,13,0,15:35,50
Joona Koppanen,20232024,PIT,L,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7:49,20
Rhett Gardner,20232024,PHI,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,7:28,100
Dylan Coghlan,20232024,CAR,R,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,3,0,17:59,--
Zach Aston-Reese,20232024,DET,L,C,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5:09,--
Cale Fleury,20232024,SEA,R,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13:30,--
Kole Lind,20232024,SEA,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,5:59,0
Jake Leschyshyn,20232024,NYR,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,6:28,--
Shane Bowers,20232024,NJD,L,C,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,9:27,31.8
Cameron Crotty,20232024,ARI,R,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,10:03,--
Jacob Peterson,20232024,SJS,L,C,6,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,3,0,13:15,31.3
Marián Studenic,20232024,SEA,L,R,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,8:07,--
Sammy Walker,20232024,MIN,R,C,4,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,3,0,9:22,0
Philip Kemp,20232024,EDM,R,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,2:03,--
Grant Hutton,20232024,NYI,R,D,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,--,8:46,--
Grigori Denisenko,20232024,VGK,R,L,6,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,5,0,10:51,--
Linus Karlsson,20232024,VAN,R,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10:09,22.2
Hugh McGing,20232024,STL,L,L,5,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,4,0,8:23,14.3
Joe Snively,20232024,WSH,L,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,8:21,--
Raphael Lavoie,20232024,EDM,R,C,7,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,4,0,7:17,0
Graeme Clarke,20232024,NJD,R,R,3,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,2,0,11:23,0
Egor Afanasyev,20232024,NSH,L,L,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,5,0,13:00,--
Sam Poulin,20232024,PIT,L,R,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,2,0,7:47,41.7
Victor Soderstrom,20232024,ARI,R,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,15:11,--
Tobias Bjornfot,20232024,"LAK,VGK,FLA",L,D,4,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,1,0,13:49,--
Cole Schwindt,20232024,CGY,R,R,4,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,6:48,75
Maxence Guenette,20232024,OTT,R,D,7,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,6,0,13:47,--
Tyler Angle,20232024,CBJ,L,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,8:20,33.3
Connor Mackey,20232024,NYR,L,D,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,16:27,--
Justin Sourdif,20232024,FLA,R,R,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8:50,--
Emil Andrae,20232024,PHI,L,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,13:00,--
Jack Thompson,20232024,"TBL,SJS",R,D,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,4,0,15:40,--
Mavrik Bourque,20232024,DAL,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10:56,33.3
Yan Kuznetsov,20232024,CGY,L,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,11:58,--
Adam Raska,20232024,MIN,R,R,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,6:49,--
Gage Goncalves,20232024,TBL,L,C,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,--,9:58,0
Callahan Burke,20232024,CAR,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,7:06,--
Emil Heineman,20232024,MTL,L,L,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,--,9:57,0
Alex Steeves,20232024,TOR,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,10:14,--
Scott Morrow,20232024,CAR,R,D,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,6,0,18:23,--
Oskar Olausson,20232024,COL,L,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11:50,--
Mackie Samoskevich,20232024,FLA,R,R,7,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,11,0,12:02,0
Brennan Othmann,20232024,NYR,L,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9:05,--
Ryan Winterton,20232024,SEA,R,C,9,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,10,0,9:20,0
Isak Rosen,20232024,BUF,L,R,7,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,8,0,8:35,16.7
Zach Dean,20232024,STL,L,C,9,0,0,0,-4,6,0,0,0,0,0,0,0,0,0,10,0,10:33,50
Ethan Del Mastro,20232024,CHI,L,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,18:35,--
Jackson Blake,20232024,CAR,R,R,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,15:18,--
Zack Ostapchuk,20232024,OTT,L,C,7,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,5,0,10:30,26.8
Vincent Iorio,20232024,WSH,R,D,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,9:50,--
Logan Morrison,20232024,SEA,R,C,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,6,0,13:08,45.2
Cameron Butler,20232024,CBJ,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:54,--
Arshdeep Bains,20232024,VAN,L,L,8,0,0,0,-5,6,0,0,0,0,0,0,0,0,0,4,0,11:48,0
Declan Carlile,20232024,TBL,L,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,--,11:27,--
Marc Johnstone,20232024,PIT,R,R,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,7:19,100
Brandon Scanlin,20232024,NYR,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,10:46,--
Jiri Kulich,20232024,BUF,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,14:53,0
Fraser Minten,20232024,TOR,L,C,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,11:26,48.7
Matthew Savoie,20232024,BUF,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,3:55,--
Brian Halonen,20232024,NJD,R,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8:17,0
Marshall Rifai,20232024,TOR,L,D,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11:40,--
Lucas Condotta,20232024,MTL,L,L,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7:30,50
Georgii Merkulov,20232024,BOS,L,C,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,10:35,21.4
Filip Roos,20232024,CHI,L,D,4,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,2,0,14:44,--
Pavol Regenda,20232024,ANA,L,L,5,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,7,0,11:34,16.7
Maksymilian Szuber,20232024,ARI,L,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,16:59,--
Pierrick Dube,20232024,WSH,R,R,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,9:20,0
Gavin Brindley,20232024,CBJ,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,12:20,--
Bradly Nadeau,20232024,CAR,R,L,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,3,0,19:08,--
Akito Hirose,20232024,VAN,L,D,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,--,12:06,--
Ondrej Pavel,20232024,COL,L,C,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,3,0,6:06,33.3
Cole McWard,20232024,VAN,R,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9:05,--
Nikolas Matinpalo,20232024,OTT,R,D,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7:00,--
Patrik Koch,20232024,ARI,L,D,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,9:20,--
